Date,Merchant,Amount,Business_Purpose,Deductible_100%
2022-12-12,Purchase authorized on 12/10 Wholefds Arr 10237 Pasadena CA S582344689414692 Card 6470,$26.23,,
2022-12-12,Purchase authorized on 12/11 Uber Eats Help.Uber.Com CA S382345690394524 Card 6470,$58.96,,
2022-12-14,Purchase authorized on 12/12 Uber Eats Help.Uber.Com CA S462347125063821 Card 6470,$82.37,,
2022-12-19,Purchase authorized on 12/15 Uber Eats Help.Uber.Com CA S462350158459735 Card 6470,$127.74,,
2022-12-19,Purchase authorized on 12/17 Tst* Milk Bar - ME Los Angeles CA S582352277502249 Card 6470,$46.80,,
2022-12-19,Purchase authorized on 12/18 Wholefds Oxn #1031 Oxnard CA S302352739262416 Card 6470,$10.99,,
2022-12-19,Purchase authorized on 12/18 Wholefds Arr 10237 Pasadena CA S462353081199927 Card 6470,$111.21,,
2022-12-19,Purchase authorized on 12/18 Uber Eats Help.Uber.Com CA S302353118829200 Card 6470,$61.48,,
2022-12-20,Purchase authorized on 12/19 Uber Eats Help.Uber.Com CA S582353695683979 Card 6470,$72.87,,
2022-12-22,Purchase authorized on 12/21 Wholefds Arr 10237 Pasadena CA S382355720791203 Card 6470,$146.14,,
2022-12-27,Purchase authorized on 12/23 Wholefds Val 10178 Santa Clarita CA S582358150505584 Card 6470,$39.38,,
2022-12-27,Purchase authorized on 12/23 Wholefds Val 10178 Santa Clarita CA S382358152645293 Card 6470,$7.98,,
2022-12-27,Purchase authorized on 12/24 Erewhon Calabasas Calabasas CA S462358831792747 Card 6470,$68.55,,
2022-12-27,Purchase authorized on 12/24 Wholefds Oxn #1031 Oxnard CA S302359005143561 Card 6470,$25.67,,
